call_id,target_id,target_number,name,global_keywords_new,extracted_phrases,phrase_count
5613,11,20251007111832,07102025-111321.516383844.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'major', 'identified_phrase': 'majoor'}]",majoor,1
6515,12,20251007112831,07102025-111324.516383948.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'camera', 'identified_phrase': 'camera'}]",camera,1
6516,12,20251007112831,07102025-111324.516383949.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'order', 'identified_phrase': 'order'}]",order,1
5536,11,20251007111832,07102025-111329.516384055.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'working', 'identified_phrase': 'working'}]",working,1
5319,11,20251007111832,07102025-111330.516384076.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'mobile', 'identified_phrase': 'mobile'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'team', 'identified_phrase': 'team'}]","mobile, team",2
5211,11,20251007111832,07102025-111333.516384176.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'baba', 'identified_phrase': 'baba'}]",baba,1
5693,11,20251007111832,07102025-111355.516384738.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'bomb', 'identified_phrase': 'bomb'}]",bomb,1
5641,11,20251007111832,07102025-111401.516384895.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'raat', 'identified_phrase': 'raat'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'khatam', 'identified_phrase': 'khatm'}]","raat, khatm",2
6597,12,20251007112831,07102025-111403.516384936.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'camera', 'identified_phrase': 'camera'}]",camera,1
5588,11,20251007111832,07102025-111409.516385140.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'un', 'identified_phrase': 'un'}]",un,1
5603,11,20251007111832,07102025-111416.516385333.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'mobile', 'identified_phrase': 'mobile'}]",mobile,1
5558,11,20251007111832,07102025-111417.516385343.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'mujahid', 'identified_phrase': 'mujahid'}]",mujahid,1
5957,11,20251007111832,07102025-111417.516389890.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'raat', 'identified_phrase': 'raat'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'mujahid', 'identified_phrase': 'mujahid'}]","raat, mujahid",2
5576,11,20251007111832,07102025-111420.516385434.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'raat', 'identified_phrase': 'raat'}]",raat,1
5960,11,20251007111832,07102025-111421.516385464.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'raat', 'identified_phrase': 'raat'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'khatam', 'identified_phrase': 'khatm'}]","raat, khatm",2
6448,12,20251007112831,07102025-111426.516385625.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'gali', 'identified_phrase': 'gali'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'un', 'identified_phrase': 'un'}]","gali, un",2
6380,11,20251007111832,07102025-111427.516385636.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'duty', 'identified_phrase': 'duty'}]",duty,1
6392,11,20251007111832,07102025-111427.516385640.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'light', 'identified_phrase': 'light'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'office', 'identified_phrase': 'office'}]","light, office",2
5118,11,20251007111832,07102025-111431.516385732.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'khatam', 'identified_phrase': 'khatm'}]",khatm,1
